US_140EVT,CLASSNAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3560,Tamaulipan Mesquite Upland Shrub,Tr Tamaulipan Mesquite Upland Scrub,Shrub,Shrubland,Desert Scrub,SRM 728: Mesquite-Ganjeno-Acacia,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3561,Llano Uplift Acidic Herbaceous Glade,"Tr Llano Uplift Acidic Forest, Woodland, and Glade",Herb,Conifer-Hardwood,Glades and Barrens,SRM 733: Juniper-Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3562,Tamaulipan Riparian Shrubland,Tr Tamaulipan Riparian Systems,Shrub,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3563,Edwards Plateau Riparian Shrubland,Sh Edwards Plateau Riparian,Shrub,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy
3564,Modified/Managed Southern Tallgrass Shrubland,Sh Modified/Managed Southern Tallgrass Grassland,Shrub,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3566,Florida Dry Prairie Shruband,Sh Florida Dry Prairie,Shrub,Grassland,Prairies and Barrens,SRM 814: Cabbage Palms Flatwoods,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3567,Southern Coastal Plain Blackland Prairie Woodland,Tr Southern Coastal Plain Blackland Prairie and Woodland,Tree,Grassland,Prairies and Barrens,SAF 46: Eastern Redcedar,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3568,East Gulf Coastal Plain Jackson Prairie Woodland,Tr East Gulf Coastal Plain Jackson Prairie and Woodland,Tree,Grassland,Prairies and Barrens,SRM 717: Little Bluestem-Indiangrass-Texas Wintergrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3569,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Shrubland,Tr Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Shrub,Conifer,Pine Flatwoods,SAF 98 : Pond Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3570,Southern Coastal Plain Nonriverine Cypress Dome Herbaceous,Tr Southern Coastal Plain Nonriverine Cypress Dome,Herb,Hardwood,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3571,Southern Coastal Plain Seepage Swamp and Baygall Shrubland,Tr Southern Coastal Plain Seepage Swamp and Baygall,Shrub,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3572,South Florida Cypress Dome Herbaceous,Tr South Florida Cypress Dome,Herb,Hardwood,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3573,Gulf and Atlantic Coastal Plain Small Stream Riparian Herbaceous,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Herb,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3574,Gulf and Atlantic Coastal Plain Small Stream Riparian Shrubland,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Shrub,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3575,Caribbean Herbaceous Swamp,Tr Caribbean Swamp System,Herb,Riparian,Atlantic Swamp Forests,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3576,South Florida Everglades Forest,Tr South Florida Everglades Sawgrass Marsh,Shrub,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3577,East Gulf Coastal Plain Wet Prairie Grassland,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Herb,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3578,East Gulf Coastal Plain Wet Prairie Shrubland,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Shrub,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3579,Floridian Highlands Freshwater Marsh Shrubland,Tr Floridian Highlands Freshwater Marsh,Shrub,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3580,Floridian Highlands Freshwater Marsh Woodland,Tr Floridian Highlands Freshwater Marsh,Tree,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
